asset,asset_name,category,hypothesis,group,description,oos_verdict,robustness,rob_verdict,dominant_regime,test_pf,test_sharpe,test_max_dd,test_trades,test_wr,test_expectancy,oos_pf,oos_sharpe,oos_max_dd,oos_trades,oos_wr,oos_expectancy,mc_prob_profit,mc_pnl_mean,mc_dd_95pct,pct_trending,pct_mean_rev,pct_high_vol,pct_low_vol
NASDAQ,NASDAQ Futures,index,MR_BB_Stretch,mean_reversion,MR entry when price > 2.0 ATR from EMA50,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NASDAQ,NASDAQ Futures,index,MR_EMA_Dist,mean_reversion,MR entry when price > 1.5 ATR from EMA50,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NASDAQ,NASDAQ Futures,index,MR_RSI_Exhaust,mean_reversion,MR entry at RSI < 30 (buy) or RSI > 70 (sell),SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NASDAQ,NASDAQ Futures,index,TF_EMA_Slope,trend_follow,Trend follow: EMA20 slope direction + price above/below EMA20,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NASDAQ,NASDAQ Futures,index,TF_Momentum,trend_follow,Trend follow: 10-bar momentum > 0.5x ATR,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NASDAQ,NASDAQ Futures,index,TF_Breakout_20,trend_follow,Breakout: close > max or < min of last 20 candles,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NASDAQ,NASDAQ Futures,index,VOL_ATR_Expand,volatility,Enter in bias direction when ATR > 1.5x rolling mean,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
NASDAQ,NASDAQ Futures,index,VOL_Range_Bkout,volatility,Enter in bias direction after ATR compression (< 0.7x mean),SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ITUB4,Itau Unibanco,brazil_equity,MR_BB_Stretch,mean_reversion,MR entry when price > 2.0 ATR from EMA50,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ITUB4,Itau Unibanco,brazil_equity,MR_EMA_Dist,mean_reversion,MR entry when price > 1.5 ATR from EMA50,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ITUB4,Itau Unibanco,brazil_equity,MR_RSI_Exhaust,mean_reversion,MR entry at RSI < 30 (buy) or RSI > 70 (sell),SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ITUB4,Itau Unibanco,brazil_equity,TF_EMA_Slope,trend_follow,Trend follow: EMA20 slope direction + price above/below EMA20,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ITUB4,Itau Unibanco,brazil_equity,TF_Momentum,trend_follow,Trend follow: 10-bar momentum > 0.5x ATR,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ITUB4,Itau Unibanco,brazil_equity,TF_Breakout_20,trend_follow,Breakout: close > max or < min of last 20 candles,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ITUB4,Itau Unibanco,brazil_equity,VOL_ATR_Expand,volatility,Enter in bias direction when ATR > 1.5x rolling mean,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ITUB4,Itau Unibanco,brazil_equity,VOL_Range_Bkout,volatility,Enter in bias direction after ATR compression (< 0.7x mean),SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PETR4,Petrobras,brazil_equity,MR_BB_Stretch,mean_reversion,MR entry when price > 2.0 ATR from EMA50,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PETR4,Petrobras,brazil_equity,MR_EMA_Dist,mean_reversion,MR entry when price > 1.5 ATR from EMA50,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PETR4,Petrobras,brazil_equity,MR_RSI_Exhaust,mean_reversion,MR entry at RSI < 30 (buy) or RSI > 70 (sell),SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PETR4,Petrobras,brazil_equity,TF_EMA_Slope,trend_follow,Trend follow: EMA20 slope direction + price above/below EMA20,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PETR4,Petrobras,brazil_equity,TF_Momentum,trend_follow,Trend follow: 10-bar momentum > 0.5x ATR,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PETR4,Petrobras,brazil_equity,TF_Breakout_20,trend_follow,Breakout: close > max or < min of last 20 candles,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PETR4,Petrobras,brazil_equity,VOL_ATR_Expand,volatility,Enter in bias direction when ATR > 1.5x rolling mean,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PETR4,Petrobras,brazil_equity,VOL_Range_Bkout,volatility,Enter in bias direction after ATR compression (< 0.7x mean),SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IBOV,Ibovespa,index,MR_BB_Stretch,mean_reversion,MR entry when price > 2.0 ATR from EMA50,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IBOV,Ibovespa,index,MR_EMA_Dist,mean_reversion,MR entry when price > 1.5 ATR from EMA50,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IBOV,Ibovespa,index,MR_RSI_Exhaust,mean_reversion,MR entry at RSI < 30 (buy) or RSI > 70 (sell),SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IBOV,Ibovespa,index,TF_EMA_Slope,trend_follow,Trend follow: EMA20 slope direction + price above/below EMA20,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IBOV,Ibovespa,index,TF_Momentum,trend_follow,Trend follow: 10-bar momentum > 0.5x ATR,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IBOV,Ibovespa,index,TF_Breakout_20,trend_follow,Breakout: close > max or < min of last 20 candles,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IBOV,Ibovespa,index,VOL_ATR_Expand,volatility,Enter in bias direction when ATR > 1.5x rolling mean,SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IBOV,Ibovespa,index,VOL_Range_Bkout,volatility,Enter in bias direction after ATR compression (< 0.7x mean),SKIP_NO_DATA,0.0000,SKIP_NO_DATA,N/A,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
